Corresponding to Fig. 1c,,
Cell,Cluster,Organ
forebrain_E9.5_embryo2_sc85,HC,forebrain
forebrain_E10.5_embryo2_sc2,HC,forebrain
forebrain_E10.5_embryo2_sc5,HC,forebrain
forebrain_E10.5_embryo2_sc8,HC,forebrain
forebrain_E10.5_embryo2_sc9,HC,forebrain
forebrain_E10.5_embryo1_sc65,HC,forebrain
forebrain_E10.5_embryo1_sc70,HC,forebrain
forebrain_E10.5_embryo1_sc74,HC,forebrain
forebrain_E10.5_embryo1_sc76,HC,forebrain
forebrain_E10.5_embryo1_sc85,HC,forebrain
forebrain_E10.5_embryo1_sc86,HC,forebrain
forebrain_E10.5_embryo1_sc87,HC,forebrain
forebrain_E10.5_embryo1_sc90,HC,forebrain
forebrain_E10.5_embryo1_sc92,HC,forebrain
forebrain_E10.5_embryo1_sc95,HC,forebrain
forebrain_E10.5_embryo1_sc96,HC,forebrain
forebrain_E11.5_embryo1_sc26,HC,forebrain
heart_E9.5_embryo1_sc14,HC,heart
heart_E9.5_embryo1_sc16,HC,heart
heart_E9.5_embryo1_sc28,HC,heart
heart_E9.5_embryo2_sc44,HC,heart
heart_E9.5_embryo2_sc69,HC,heart
heart_E10.5_embryo1_sc13,HC,heart
heart_E10.5_embryo1_sc15,HC,heart
heart_E10.5_embryo1_sc28,HC,heart
heart_E10.5_embryo1_sc37,HC,heart
heart_E10.5_embryo2_sc62,HC,heart
heart_E11.5_embryo1_sc3,HC,heart
heart_E11.5_embryo1_sc25,HC,heart
heart_E11.5_embryo1_sc27,HC,heart
heart_E11.5_embryo1_sc36,HC,heart
heart_E11.5_embryo2_sc56,HC,heart
heart_E11.5_embryo2_sc86,HC,heart
intestine_E10.5_embryo2_sc53,HC,intestine
liver_E9.5_embryo3_sc53,HC,liver
liver_E9.5_embryo3_sc58,HC,liver
liver_E9.5_embryo3_sc60,HC,liver
liver_E9.5_embryo3_sc66,HC,liver
liver_E9.5_embryo3_sc72,HC,liver
liver_E9.5_embryo3_sc74,HC,liver
liver_E9.5_embryo3_sc77,HC,liver
liver_E9.5_embryo3_sc78,HC,liver
liver_E9.5_embryo3_sc79,HC,liver
liver_E9.5_embryo3_sc83,HC,liver
liver_E9.5_embryo3_sc87,HC,liver
liver_E9.5_embryo3_sc90,HC,liver
liver_E9.5_embryo3_sc92,HC,liver
liver_E9.5_embryo3_sc93,HC,liver
liver_E9.5_embryo3_sc94,HC,liver
liver_E10.5_embryo1_sc1,HC,liver
liver_E10.5_embryo1_sc2,HC,liver
liver_E10.5_embryo1_sc3,HC,liver
liver_E10.5_embryo1_sc4,HC,liver
liver_E10.5_embryo1_sc5,HC,liver
liver_E10.5_embryo1_sc6,HC,liver
liver_E10.5_embryo1_sc7,HC,liver
liver_E10.5_embryo1_sc9,HC,liver
liver_E10.5_embryo1_sc10,HC,liver
liver_E10.5_embryo1_sc11,HC,liver
liver_E10.5_embryo1_sc12,HC,liver
liver_E10.5_embryo1_sc13,HC,liver
liver_E10.5_embryo1_sc14,HC,liver
liver_E10.5_embryo1_sc15,HC,liver
liver_E10.5_embryo1_sc16,HC,liver
liver_E10.5_embryo1_sc17,HC,liver
liver_E10.5_embryo1_sc18,HC,liver
liver_E10.5_embryo1_sc19,HC,liver
liver_E10.5_embryo1_sc20,HC,liver
liver_E10.5_embryo1_sc21,HC,liver
liver_E10.5_embryo1_sc22,HC,liver
liver_E10.5_embryo1_sc25,HC,liver
liver_E10.5_embryo1_sc26,HC,liver
liver_E10.5_embryo1_sc27,HC,liver
liver_E10.5_embryo1_sc28,HC,liver
liver_E10.5_embryo1_sc29,HC,liver
liver_E10.5_embryo1_sc30,HC,liver
liver_E10.5_embryo1_sc31,HC,liver
liver_E10.5_embryo1_sc32,HC,liver
liver_E10.5_embryo1_sc34,HC,liver
liver_E10.5_embryo1_sc35,HC,liver
liver_E10.5_embryo1_sc37,HC,liver
liver_E10.5_embryo1_sc38,HC,liver
liver_E10.5_embryo1_sc40,HC,liver
liver_E10.5_embryo1_sc41,HC,liver
liver_E10.5_embryo1_sc42,HC,liver
liver_E10.5_embryo1_sc43,HC,liver
liver_E10.5_embryo1_sc44,HC,liver
liver_E10.5_embryo1_sc47,HC,liver
liver_E10.5_embryo1_sc48,HC,liver
liver_E10.5_embryo2_sc49,HC,liver
liver_E10.5_embryo2_sc50,HC,liver
liver_E10.5_embryo2_sc51,HC,liver
liver_E10.5_embryo2_sc52,HC,liver
liver_E10.5_embryo2_sc53,HC,liver
liver_E10.5_embryo2_sc54,HC,liver
liver_E10.5_embryo2_sc55,HC,liver
liver_E10.5_embryo2_sc56,HC,liver
liver_E10.5_embryo2_sc58,HC,liver
liver_E10.5_embryo2_sc59,HC,liver
liver_E10.5_embryo2_sc60,HC,liver
liver_E10.5_embryo2_sc61,HC,liver
liver_E10.5_embryo2_sc62,HC,liver
liver_E10.5_embryo2_sc63,HC,liver
liver_E10.5_embryo2_sc64,HC,liver
liver_E10.5_embryo2_sc65,HC,liver
liver_E10.5_embryo2_sc67,HC,liver
liver_E10.5_embryo2_sc68,HC,liver
liver_E10.5_embryo2_sc71,HC,liver
liver_E10.5_embryo2_sc72,HC,liver
liver_E10.5_embryo2_sc73,HC,liver
liver_E10.5_embryo2_sc74,HC,liver
liver_E10.5_embryo2_sc75,HC,liver
liver_E10.5_embryo2_sc77,HC,liver
liver_E10.5_embryo2_sc78,HC,liver
liver_E10.5_embryo2_sc79,HC,liver
liver_E10.5_embryo2_sc80,HC,liver
liver_E10.5_embryo2_sc81,HC,liver
liver_E10.5_embryo2_sc82,HC,liver
liver_E10.5_embryo2_sc83,HC,liver
liver_E10.5_embryo2_sc84,HC,liver
liver_E10.5_embryo2_sc85,HC,liver
liver_E10.5_embryo2_sc87,HC,liver
liver_E10.5_embryo2_sc88,HC,liver
liver_E10.5_embryo2_sc89,HC,liver
liver_E10.5_embryo2_sc90,HC,liver
liver_E10.5_embryo2_sc91,HC,liver
liver_E10.5_embryo2_sc92,HC,liver
liver_E10.5_embryo2_sc93,HC,liver
liver_E10.5_embryo2_sc94,HC,liver
liver_E10.5_embryo2_sc95,HC,liver
liver_E10.5_embryo2_sc96,HC,liver
liver_E11.5_embryo1_sc2,HC,liver
liver_E11.5_embryo1_sc3,HC,liver
liver_E11.5_embryo1_sc4,HC,liver
liver_E11.5_embryo1_sc5,HC,liver
liver_E11.5_embryo1_sc6,HC,liver
liver_E11.5_embryo1_sc9,HC,liver
liver_E11.5_embryo1_sc10,HC,liver
liver_E11.5_embryo1_sc11,HC,liver
liver_E11.5_embryo1_sc12,HC,liver
liver_E11.5_embryo1_sc13,HC,liver
liver_E11.5_embryo1_sc14,HC,liver
liver_E11.5_embryo1_sc15,HC,liver
liver_E11.5_embryo1_sc16,HC,liver
liver_E11.5_embryo1_sc17,HC,liver
liver_E11.5_embryo1_sc18,HC,liver
liver_E11.5_embryo1_sc19,HC,liver
liver_E11.5_embryo1_sc20,HC,liver
liver_E11.5_embryo1_sc21,HC,liver
liver_E11.5_embryo1_sc22,HC,liver
liver_E11.5_embryo1_sc24,HC,liver
liver_E11.5_embryo1_sc25,HC,liver
liver_E11.5_embryo1_sc26,HC,liver
liver_E11.5_embryo1_sc27,HC,liver
liver_E11.5_embryo1_sc28,HC,liver
liver_E11.5_embryo1_sc29,HC,liver
liver_E11.5_embryo1_sc30,HC,liver
liver_E11.5_embryo1_sc31,HC,liver
liver_E11.5_embryo1_sc32,HC,liver
liver_E11.5_embryo1_sc33,HC,liver
liver_E11.5_embryo1_sc35,HC,liver
liver_E11.5_embryo1_sc36,HC,liver
liver_E11.5_embryo1_sc37,HC,liver
liver_E11.5_embryo1_sc38,HC,liver
liver_E11.5_embryo1_sc39,HC,liver
liver_E11.5_embryo1_sc40,HC,liver
liver_E11.5_embryo1_sc41,HC,liver
liver_E11.5_embryo1_sc42,HC,liver
liver_E11.5_embryo1_sc43,HC,liver
liver_E11.5_embryo1_sc44,HC,liver
liver_E11.5_embryo1_sc45,HC,liver
liver_E11.5_embryo1_sc46,HC,liver
liver_E11.5_embryo1_sc47,HC,liver
liver_E11.5_embryo2_sc49,HC,liver
liver_E11.5_embryo2_sc50,HC,liver
liver_E11.5_embryo2_sc51,HC,liver
liver_E11.5_embryo2_sc52,HC,liver
liver_E11.5_embryo2_sc53,HC,liver
liver_E11.5_embryo2_sc54,HC,liver
liver_E11.5_embryo2_sc55,HC,liver
liver_E11.5_embryo2_sc56,HC,liver
liver_E11.5_embryo2_sc57,HC,liver
liver_E11.5_embryo2_sc58,HC,liver
liver_E11.5_embryo2_sc60,HC,liver
liver_E11.5_embryo2_sc61,HC,liver
liver_E11.5_embryo2_sc62,HC,liver
liver_E11.5_embryo2_sc63,HC,liver
liver_E11.5_embryo2_sc64,HC,liver
liver_E11.5_embryo2_sc65,HC,liver
liver_E11.5_embryo2_sc66,HC,liver
liver_E11.5_embryo2_sc67,HC,liver
liver_E11.5_embryo2_sc68,HC,liver
liver_E11.5_embryo2_sc69,HC,liver
liver_E11.5_embryo2_sc70,HC,liver
liver_E11.5_embryo2_sc71,HC,liver
liver_E11.5_embryo2_sc72,HC,liver
liver_E11.5_embryo2_sc73,HC,liver
liver_E11.5_embryo2_sc75,HC,liver
liver_E11.5_embryo2_sc77,HC,liver
liver_E11.5_embryo2_sc78,HC,liver
liver_E11.5_embryo2_sc79,HC,liver
liver_E11.5_embryo2_sc81,HC,liver
liver_E11.5_embryo2_sc83,HC,liver
liver_E11.5_embryo2_sc84,HC,liver
liver_E11.5_embryo2_sc85,HC,liver
liver_E11.5_embryo2_sc86,HC,liver
liver_E11.5_embryo2_sc88,HC,liver
liver_E11.5_embryo2_sc89,HC,liver
liver_E11.5_embryo2_sc90,HC,liver
liver_E11.5_embryo2_sc91,HC,liver
liver_E11.5_embryo2_sc93,HC,liver
liver_E11.5_embryo2_sc94,HC,liver
liver_E11.5_embryo2_sc95,HC,liver
liver_E11.5_embryo2_sc96,HC,liver
lung_E9.5_embryo2_sc3,HC,lung
lung_E9.5_embryo2_sc5,HC,lung
lung_E9.5_embryo2_sc25,HC,lung
lung_E9.5_embryo2_sc28,HC,lung
lung_E9.5_embryo2_sc45,HC,lung
lung_E10.5_embryo2_sc11,HC,lung
lung_E11.5_embryo2_sc44,HC,lung
hindbrain_E9.5_embryo2_sc53,HC,hindbrain
hindbrain_E9.5_embryo2_sc55,HC,hindbrain
hindbrain_E9.5_embryo2_sc59,HC,hindbrain
hindbrain_E9.5_embryo2_sc64,HC,hindbrain
hindbrain_E9.5_embryo2_sc65,HC,hindbrain
hindbrain_E9.5_embryo2_sc66,HC,hindbrain
hindbrain_E9.5_embryo2_sc69,HC,hindbrain
hindbrain_E9.5_embryo2_sc71,HC,hindbrain
hindbrain_E9.5_embryo2_sc73,HC,hindbrain
hindbrain_E9.5_embryo2_sc87,HC,hindbrain
hindbrain_E10.5_embryo1_sc49,HC,hindbrain
hindbrain_E10.5_embryo2_sc66,HC,hindbrain
hindbrain_E11.5_embryo1_sc78,HC,hindbrain
hindbrain_E11.5_embryo1_sc80,HC,hindbrain
hindbrain_E11.5_embryo1_sc81,HC,hindbrain
hindbrain_E11.5_embryo1_sc82,HC,hindbrain
hindbrain_E11.5_embryo1_sc93,HC,hindbrain
skin_E9.5_embryo3_sc10,HC,skin
skin_E9.5_embryo3_sc22,HC,skin
skin_E9.5_embryo2_sc3,HC,skin
skin_E10.5_embryo1_sc2,HC,skin
skin_E10.5_embryo1_sc20,HC,skin
skin_E11.5_embryo2_sc11,HC,skin
skin_E11.5_embryo2_sc12,HC,skin
skin_E11.5_embryo2_sc27,HC,skin
skin_E11.5_embryo1_sc85,HC,skin
somite_E10.5_embryo2_sc67,HC,somite
somite_E10.5_embryo2_sc75,HC,somite
forebrain_E9.5_embryo1_sc2,NC,forebrain
forebrain_E9.5_embryo1_sc3,NC,forebrain
forebrain_E9.5_embryo1_sc4,NC,forebrain
forebrain_E9.5_embryo1_sc5,NC,forebrain
forebrain_E9.5_embryo1_sc6,NC,forebrain
forebrain_E9.5_embryo1_sc7,NC,forebrain
forebrain_E9.5_embryo1_sc8,NC,forebrain
forebrain_E9.5_embryo1_sc9,NC,forebrain
forebrain_E9.5_embryo1_sc10,NC,forebrain
forebrain_E9.5_embryo1_sc12,NC,forebrain
forebrain_E9.5_embryo1_sc13,NC,forebrain
forebrain_E9.5_embryo1_sc14,NC,forebrain
forebrain_E9.5_embryo1_sc15,NC,forebrain
forebrain_E9.5_embryo1_sc16,NC,forebrain
forebrain_E9.5_embryo1_sc17,NC,forebrain
forebrain_E9.5_embryo1_sc18,NC,forebrain
forebrain_E9.5_embryo1_sc19,NC,forebrain
forebrain_E9.5_embryo1_sc20,NC,forebrain
forebrain_E9.5_embryo1_sc21,NC,forebrain
forebrain_E9.5_embryo1_sc22,NC,forebrain
forebrain_E9.5_embryo1_sc24,NC,forebrain
forebrain_E9.5_embryo1_sc25,NC,forebrain
forebrain_E9.5_embryo1_sc26,NC,forebrain
forebrain_E9.5_embryo1_sc27,NC,forebrain
forebrain_E9.5_embryo1_sc28,NC,forebrain
forebrain_E9.5_embryo1_sc29,NC,forebrain
forebrain_E9.5_embryo1_sc30,NC,forebrain
forebrain_E9.5_embryo1_sc31,NC,forebrain
forebrain_E9.5_embryo1_sc32,NC,forebrain
forebrain_E9.5_embryo1_sc33,NC,forebrain
forebrain_E9.5_embryo1_sc35,NC,forebrain
forebrain_E9.5_embryo1_sc36,NC,forebrain
forebrain_E9.5_embryo1_sc37,NC,forebrain
forebrain_E9.5_embryo1_sc38,NC,forebrain
forebrain_E9.5_embryo1_sc39,NC,forebrain
forebrain_E9.5_embryo1_sc40,NC,forebrain
forebrain_E9.5_embryo1_sc41,NC,forebrain
forebrain_E9.5_embryo1_sc42,NC,forebrain
forebrain_E9.5_embryo1_sc43,NC,forebrain
forebrain_E9.5_embryo1_sc44,NC,forebrain
forebrain_E9.5_embryo1_sc45,NC,forebrain
forebrain_E9.5_embryo1_sc46,NC,forebrain
forebrain_E9.5_embryo1_sc47,NC,forebrain
forebrain_E9.5_embryo1_sc48,NC,forebrain
forebrain_E9.5_embryo1_sc49,NC,forebrain
forebrain_E9.5_embryo2_sc39,NC,forebrain
forebrain_E9.5_embryo2_sc40,NC,forebrain
forebrain_E9.5_embryo2_sc42,NC,forebrain
forebrain_E9.5_embryo2_sc43,NC,forebrain
forebrain_E9.5_embryo2_sc45,NC,forebrain
forebrain_E9.5_embryo2_sc46,NC,forebrain
forebrain_E9.5_embryo2_sc47,NC,forebrain
forebrain_E9.5_embryo2_sc48,NC,forebrain
forebrain_E9.5_embryo2_sc49,NC,forebrain
forebrain_E9.5_embryo2_sc50,NC,forebrain
forebrain_E9.5_embryo2_sc51,NC,forebrain
forebrain_E9.5_embryo2_sc52,NC,forebrain
forebrain_E9.5_embryo2_sc53,NC,forebrain
forebrain_E9.5_embryo2_sc54,NC,forebrain
forebrain_E9.5_embryo2_sc55,NC,forebrain
forebrain_E9.5_embryo2_sc56,NC,forebrain
forebrain_E9.5_embryo2_sc57,NC,forebrain
forebrain_E9.5_embryo2_sc58,NC,forebrain
forebrain_E9.5_embryo2_sc59,NC,forebrain
forebrain_E9.5_embryo2_sc60,NC,forebrain
forebrain_E9.5_embryo2_sc61,NC,forebrain
forebrain_E9.5_embryo2_sc62,NC,forebrain
forebrain_E9.5_embryo2_sc63,NC,forebrain
forebrain_E9.5_embryo2_sc64,NC,forebrain
forebrain_E9.5_embryo2_sc65,NC,forebrain
forebrain_E9.5_embryo2_sc66,NC,forebrain
forebrain_E9.5_embryo2_sc67,NC,forebrain
forebrain_E9.5_embryo2_sc68,NC,forebrain
forebrain_E9.5_embryo2_sc69,NC,forebrain
forebrain_E9.5_embryo2_sc70,NC,forebrain
forebrain_E9.5_embryo2_sc71,NC,forebrain
forebrain_E9.5_embryo2_sc72,NC,forebrain
forebrain_E9.5_embryo2_sc73,NC,forebrain
forebrain_E9.5_embryo2_sc74,NC,forebrain
forebrain_E9.5_embryo2_sc75,NC,forebrain
forebrain_E9.5_embryo2_sc76,NC,forebrain
forebrain_E9.5_embryo2_sc77,NC,forebrain
forebrain_E9.5_embryo2_sc79,NC,forebrain
forebrain_E9.5_embryo2_sc80,NC,forebrain
forebrain_E9.5_embryo2_sc81,NC,forebrain
forebrain_E9.5_embryo2_sc82,NC,forebrain
forebrain_E9.5_embryo2_sc84,NC,forebrain
forebrain_E9.5_embryo2_sc86,NC,forebrain
forebrain_E10.5_embryo2_sc1,NC,forebrain
forebrain_E10.5_embryo2_sc3,NC,forebrain
forebrain_E10.5_embryo2_sc4,NC,forebrain
forebrain_E10.5_embryo2_sc6,NC,forebrain
forebrain_E10.5_embryo2_sc7,NC,forebrain
forebrain_E10.5_embryo2_sc10,NC,forebrain
forebrain_E10.5_embryo2_sc11,NC,forebrain
forebrain_E10.5_embryo2_sc12,NC,forebrain
forebrain_E10.5_embryo2_sc13,NC,forebrain
forebrain_E10.5_embryo2_sc14,NC,forebrain
forebrain_E10.5_embryo2_sc15,NC,forebrain
forebrain_E10.5_embryo2_sc16,NC,forebrain
forebrain_E10.5_embryo2_sc17,NC,forebrain
forebrain_E10.5_embryo2_sc18,NC,forebrain
forebrain_E10.5_embryo2_sc19,NC,forebrain
forebrain_E10.5_embryo2_sc20,NC,forebrain
forebrain_E10.5_embryo2_sc21,NC,forebrain
forebrain_E10.5_embryo2_sc22,NC,forebrain
forebrain_E10.5_embryo2_sc24,NC,forebrain
forebrain_E10.5_embryo2_sc25,NC,forebrain
forebrain_E10.5_embryo2_sc26,NC,forebrain
forebrain_E10.5_embryo2_sc27,NC,forebrain
forebrain_E10.5_embryo2_sc28,NC,forebrain
forebrain_E10.5_embryo2_sc29,NC,forebrain
forebrain_E10.5_embryo2_sc30,NC,forebrain
forebrain_E10.5_embryo2_sc31,NC,forebrain
forebrain_E10.5_embryo2_sc32,NC,forebrain
forebrain_E10.5_embryo1_sc67,NC,forebrain
forebrain_E10.5_embryo1_sc71,NC,forebrain
forebrain_E10.5_embryo1_sc77,NC,forebrain
forebrain_E10.5_embryo1_sc78,NC,forebrain
forebrain_E10.5_embryo1_sc79,NC,forebrain
forebrain_E10.5_embryo1_sc80,NC,forebrain
forebrain_E10.5_embryo1_sc89,NC,forebrain
forebrain_E10.5_embryo1_sc91,NC,forebrain
forebrain_E10.5_embryo1_sc93,NC,forebrain
forebrain_E11.5_embryo1_sc1,NC,forebrain
forebrain_E11.5_embryo1_sc2,NC,forebrain
forebrain_E11.5_embryo1_sc3,NC,forebrain
forebrain_E11.5_embryo1_sc4,NC,forebrain
forebrain_E11.5_embryo1_sc5,NC,forebrain
forebrain_E11.5_embryo1_sc6,NC,forebrain
forebrain_E11.5_embryo1_sc7,NC,forebrain
forebrain_E11.5_embryo1_sc8,NC,forebrain
forebrain_E11.5_embryo1_sc9,NC,forebrain
forebrain_E11.5_embryo1_sc10,NC,forebrain
forebrain_E11.5_embryo1_sc11,NC,forebrain
forebrain_E11.5_embryo1_sc12,NC,forebrain
forebrain_E11.5_embryo1_sc13,NC,forebrain
forebrain_E11.5_embryo1_sc14,NC,forebrain
forebrain_E11.5_embryo1_sc15,NC,forebrain
forebrain_E11.5_embryo1_sc16,NC,forebrain
forebrain_E11.5_embryo1_sc17,NC,forebrain
forebrain_E11.5_embryo1_sc18,NC,forebrain
forebrain_E11.5_embryo1_sc19,NC,forebrain
forebrain_E11.5_embryo1_sc20,NC,forebrain
forebrain_E11.5_embryo1_sc21,NC,forebrain
forebrain_E11.5_embryo1_sc22,NC,forebrain
forebrain_E11.5_embryo1_sc24,NC,forebrain
forebrain_E11.5_embryo1_sc25,NC,forebrain
forebrain_E11.5_embryo1_sc27,NC,forebrain
forebrain_E11.5_embryo1_sc28,NC,forebrain
forebrain_E11.5_embryo1_sc29,NC,forebrain
forebrain_E11.5_embryo1_sc30,NC,forebrain
forebrain_E11.5_embryo1_sc31,NC,forebrain
forebrain_E11.5_embryo1_sc32,NC,forebrain
forebrain_E11.5_embryo2_sc33,NC,forebrain
forebrain_E11.5_embryo2_sc36,NC,forebrain
forebrain_E11.5_embryo2_sc37,NC,forebrain
forebrain_E11.5_embryo2_sc38,NC,forebrain
forebrain_E11.5_embryo2_sc39,NC,forebrain
forebrain_E11.5_embryo2_sc40,NC,forebrain
forebrain_E11.5_embryo2_sc41,NC,forebrain
forebrain_E11.5_embryo2_sc42,NC,forebrain
forebrain_E11.5_embryo2_sc43,NC,forebrain
forebrain_E11.5_embryo2_sc44,NC,forebrain
forebrain_E11.5_embryo2_sc45,NC,forebrain
forebrain_E11.5_embryo2_sc46,NC,forebrain
forebrain_E11.5_embryo2_sc47,NC,forebrain
forebrain_E11.5_embryo2_sc48,NC,forebrain
forebrain_E11.5_embryo2_sc49,NC,forebrain
forebrain_E11.5_embryo2_sc50,NC,forebrain
forebrain_E11.5_embryo2_sc51,NC,forebrain
forebrain_E11.5_embryo2_sc52,NC,forebrain
forebrain_E11.5_embryo2_sc53,NC,forebrain
forebrain_E11.5_embryo2_sc54,NC,forebrain
forebrain_E11.5_embryo2_sc55,NC,forebrain
forebrain_E11.5_embryo2_sc56,NC,forebrain
forebrain_E11.5_embryo2_sc57,NC,forebrain
forebrain_E11.5_embryo2_sc58,NC,forebrain
forebrain_E11.5_embryo2_sc59,NC,forebrain
forebrain_E11.5_embryo2_sc60,NC,forebrain
forebrain_E11.5_embryo2_sc61,NC,forebrain
forebrain_E11.5_embryo2_sc62,NC,forebrain
forebrain_E11.5_embryo2_sc63,NC,forebrain
forebrain_E11.5_embryo2_sc64,NC,forebrain
heart_E10.5_embryo2_sc51,NC,heart
